Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1910  109.1  122.6   49.7   93.3   70.0   68.4   95.4  138.7   26.9   87.2  127.0  140.2   366.9   213.0   302.4   241.0  1128.3
1911   58.5   98.0   61.7   68.9   51.8   77.6   43.8   68.8   68.4   90.8  139.4  183.5   296.7   182.4   190.3   298.6  1011.3
1912  108.9   78.1  126.5   34.9   57.7  123.5   90.8  166.8   56.5  113.7  103.3  157.5   370.6   219.0   381.2   273.5  1218.2
1913  121.6   56.7  128.2  102.1   81.1   63.5   32.7   43.9   72.3  101.0  123.9   84.7   335.8   311.4   140.1   297.2  1011.7
1914   76.7  113.6  122.7   52.9   59.0   52.1   91.7   80.3   57.0   62.1  136.1  196.9   275.0   234.5   224.1   255.2  1101.1
1915  115.2  138.7   53.8   63.6   51.8   35.6  122.7   80.2   53.7   73.2   81.2  179.9   450.8   169.2   238.6   208.2  1049.7
1916  107.8  134.4   86.1   69.5   91.3   72.3   71.3   89.8   55.2  168.1  129.0  105.0   422.0   246.8   233.4   352.4  1179.7
1917   71.9   33.9   70.9   62.0   67.4   71.0   59.5  166.6   75.1  164.3  118.6   60.4   210.7   200.3   297.0   358.1  1021.6
1918  101.6  103.4   41.9   49.3   63.0   43.0  119.7   83.7  178.1  105.1   94.4  130.2   265.4   154.2   246.4   377.6  1113.4
1919  117.2   58.6  113.8   80.7   29.1   64.4   49.6   90.3   81.6   69.6   99.0  161.3   306.0   223.6   204.3   250.2  1015.3
1920  137.5   93.7  106.6  106.8   94.5   57.5  123.5   70.5   76.5   74.8   81.7  104.3   392.6   307.9   251.5   233.1  1128.0
1921  148.2   24.1  102.2   38.0   62.7   18.4   58.3  107.9   52.9   81.2   71.0  126.7   276.6   202.9   184.6   205.2   891.8
1922  119.9  110.3   70.9   85.5   62.1   51.8  116.6   98.3   79.4   46.5   65.5  125.7   356.9   218.5   266.7   191.4  1032.5
1923  102.7  151.8   50.3   77.6   78.3   36.0   88.4  127.9  110.8  156.5  109.9  113.5   380.2   206.2   252.3   377.2  1203.7
1924  102.3   39.6   36.1   75.6  119.7   71.6  120.9  113.3  132.1  118.8   81.6  151.8   255.5   231.5   305.8   332.5  1163.5
1925  100.2  134.0   50.4   93.4  118.1   14.2   73.4   86.0  102.5  111.2   64.7  109.0   386.0   261.9   173.6   278.5  1057.3
1926  137.3   93.2   58.9   69.1   74.5   78.1   79.6   86.3   78.2  113.8  163.0   50.8   339.5   202.5   244.0   354.9  1082.7
1927  124.1   74.0   91.9   81.5   50.3  106.6   96.3  132.2  152.8  108.5  116.0   63.9   249.0   223.7   335.1   377.3  1198.1
1928  197.8  101.8   94.5   47.3   40.1  110.0   69.8  110.5   59.3  157.6  145.0  104.8   363.5   181.9   290.3   361.9  1238.5
