Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for UK
Areal series, starting in 1891
Last updated 01-Sep-2024 11:40
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1954   12.5   15.7   13.1    5.8   12.5   13.2   15.6   17.3   19.4   19.0   19.5   16.8    40.2    31.3    46.2    57.9   180.3
1955   13.5   13.5    8.4    9.4   16.2   11.1    3.5    6.3   12.8   12.7    9.8   18.6    43.8    33.9    20.9    35.2   135.8
1956   18.0    9.4    8.2    8.9    8.5   13.3   14.2   20.2   12.9   12.3   10.0   17.9    46.0    25.6    47.7    35.2   153.8
1957   16.5   15.4   15.1    6.1   10.2    9.6   16.1   15.4   16.6   13.7    9.4   14.7    49.8    31.4    41.1    39.7   158.8
1958   15.8   16.2   10.4    8.4   14.9   14.8   14.9   17.5   13.6   14.2    8.9   17.1    46.7    33.6    47.2    36.7   166.6
1959   13.5    5.2   13.4   15.4    6.8   11.3   11.1    7.1    3.6   12.8   18.1   22.6    35.8    35.6    29.4    34.6   140.9
1960   16.2   14.9   10.1   10.3    6.9    9.7   18.7   18.1   13.6   19.6   21.0   16.8    53.6    27.3    46.4    54.2   175.8
1961   16.2   14.2    7.2   16.1    7.7    9.0   10.7   15.3   14.7   18.9   12.4   13.6    47.3    31.0    35.0    46.0   156.1
1962   18.4   10.3    9.6   11.6   13.4    7.5    9.4   16.1   15.4    8.2   13.1   14.0    42.2    34.6    33.0    36.7   146.9
1963    7.2    6.3   16.3   15.0   14.5   14.0   11.8   17.4   12.4   14.0   20.5    7.4    27.5    45.7    43.2    46.9   156.7
1964    8.0    7.9   10.4   14.4   12.2   12.2   10.2   11.9   11.0   11.3   12.2   16.0    23.3    37.0    34.2    34.5   137.6
1965   16.2    5.8   12.1   14.7   13.5   13.1   14.3   13.3   16.0    8.0   15.5   20.4    38.0    40.3    40.7    39.5   163.0
1966   10.9   16.3   12.4   14.2   13.7   14.5   12.9   12.3   10.2   17.0   15.4   20.5    47.6    40.3    39.7    42.6   170.3
1967   14.2   13.0   14.2   10.0   20.4    7.7   11.8   13.0   15.7   21.2   13.4   15.5    47.7    44.7    32.4    50.3   170.1
1968   15.1    9.3   12.9   11.4   13.0   12.3   10.6   10.6   15.7   15.0   11.2   11.4    39.9    37.3    33.5    41.9   148.5
1969   17.1   12.9    9.5   11.2   18.2   10.2    8.8   12.1    9.1    8.7   17.2   14.8    41.4    38.8    31.0    35.0   149.7
1970   17.7   15.8   15.3   16.3    8.2    8.2   14.9   10.1   13.6   13.5   20.5   12.5    48.4    39.8    33.1    47.6   166.5
1971   16.1    9.1   12.2    6.6   10.8   12.5    8.0   13.9    7.1   11.2   14.5   10.1    37.7    29.5    34.4    32.7   132.1
1972   17.2   13.6   13.0   13.4   15.2   16.1    9.5    8.0    5.2    6.8   15.7   14.5    41.0    41.6    33.7    27.7   148.3
1973   10.9   11.3    7.5   11.7   14.7    7.9   11.4   10.6   11.5   10.5   12.2   15.4    36.7    34.0    29.9    34.2   135.8
1974   19.5   15.1   10.1    2.9   10.5   10.7   14.1   13.9   19.6   16.2   18.6   18.2    50.1    23.5    38.8    54.4   169.5
1975   20.8    7.1   13.0   15.7    6.9    6.0   12.1    9.2   15.7    7.9   13.9    9.8    46.1    35.6    27.3    37.4   138.0
1976   14.2    9.9   10.9    6.5   14.9    6.9    7.3    3.4   14.4   20.8   13.7   14.4    33.8    32.2    17.6    48.8   137.0
1977   15.4   17.8   16.2   15.0    9.4   11.2    7.1   11.6   10.6   13.8   17.3   14.1    47.6    40.6    29.8    41.7   159.5
1978   17.2   13.6   17.7    9.8    7.3   10.9   11.8   13.3   13.1    8.7   13.0   19.0    44.9    34.8    36.1    34.9   155.7
1979   14.9    8.7   18.9   15.0   17.1    9.5    9.2   14.2   10.5   14.3   17.2   18.2    42.7    51.0    32.9    42.0   167.7
